"thetar0 [deg]"	"Static_Torque []"
0	0.000592030037857802
1.03448275862069	0.0930567864363529
2.06896551724138	0.188553606529489
3.10344827586207	0.292048639567276
4.13793103448276	0.407951029633923
5.17241379310345	0.549648499948365
6.20689655172414	0.725579662957989
7.24137931034483	0.965079804839598
8.27586206896552	1.30350487518605
9.31034482758621	1.86745247117704
10.3448275862069	2.84226387377615
11.3793103448276	4.24016193338132
12.4137931034483	4.97541606948513
13.448275862069	5.152153601597
14.4827586206897	5.23603407425489
15.5172413793103	5.30534303861049
16.551724137931	5.29401983399321
17.5862068965517	5.22757577466167
18.6206896551724	5.21684273491013
19.6551724137931	5.20575059683046
20.6896551724138	5.0333793043684
21.7241379310345	4.77883059951779
22.7586206896552	4.53590794106122
23.7931034482759	4.11577817705054
24.8275862068966	3.50875243570671
25.8620689655172	2.97984911175424
26.8965517241379	2.49594191253427
27.9310344827586	1.75552119263959
28.9655172413793	0.54777690432842
30	0.00501201616935875
